Shareholder - Name	Issuer - Name	Security - Market Value - Amount	Security - Report Date	Security - Market Value - Currency Code	Data Source URL
Metal and Technology Pension Fund	Advantest Corp	33.171.347	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Adyen NV	13.750.000	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AECOM	4.176.517	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aegon Ltd	3.503.496	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aena SME SA	7.092.048	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aeon Co Ltd	10.753.585	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AerCap Holdings NV	8.950.833	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aeroports de Paris SA	1.496.548	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aflac Inc	19.294.926	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AGC Inc	2.256.733	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Ageas SA/NV	3.560.791	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Agilent Technologies Inc	12.940.814	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Agnico Eagle Mines Ltd	28.541.040	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AIA Group Ltd	38.051.115	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AIB Group PLC	7.612.117	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aier Eye Hospital Group Co Ltd	317.336	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Airbnb Inc	19.697.514	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Airports of Thailand PCL	2.847.685	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Airtac International Group	1.789.344	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aisin Corp	3.377.575	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Ajinomoto Co Inc	6.623.580	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Akbank TAS	1.797.183	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aker BP ASA	2.705.750	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Akzo Nobel NV	4.033.000	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Al Rajhi Bank	19.141.660	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Alamos Gold Inc	5.364.427	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Alcon AG	13.494.111	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Alfa Laval AB	4.953.358	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Alibaba Health Information Technology Ltd	1.496.002	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Allegion plc	4.522.203	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Allegro.eu SA	2.217.051	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Alliant Energy Corp	5.509.341	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Allianz SE	60.158.087	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Allstate Corp/The	18.366.010	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Alpha Bank SA	3.386.147	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Alphabet Inc	951.758.303	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Alstom SA	3.480.860	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AltaGas Ltd	2.992.305	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Amadeus IT Group SA	11.226.680	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Amazon.com Inc	565.399.039	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Ambev SA	4.531.570	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Amcor PLC	6.309.917	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Ameren Corp	9.043.645	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	America Movil SAB de CV	7.277.205	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	American Electric Power Co Inc	20.707.003	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	American Express Co	69.216.198	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	American Financial Group Inc/OH	3.266.262	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	American Homes 4 Rent	43.398.861	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	American International Group Inc	16.480.349	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Ameriprise Financial Inc	15.516.613	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AMETEK Inc	15.792.848	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Amgen Inc	58.788.716	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Amman Mineral Internasional PT	2.109.127	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AMMB Holdings Bhd	1.354.976	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Amorepacific Corp	933.692	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Amphenol Corp	54.703.020	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Amundi SA	1.687.411	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ANA Holdings Inc	1.102.020	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Analog Devices Inc	44.942.374	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Anheuser-Busch InBev SA/NV	21.537.599	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ANTA Sports Products Ltd	4.971.537	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ANZ Group Holdings Ltd	24.887.618	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aon PLC	23.140.840	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AP Moller - Maersk A/S	5.596.091	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	APA Group	2.696.027	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Apollo Global Management Inc	19.535.728	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Apollo Hospitals Enterprise Ltd	3.257.625	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Apple Inc	657.202.135	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Applied Materials Inc	69.897.035	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AppLovin Corp	52.366.276	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aptiv PLC	5.764.816	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Arab National Bank	1.874.272	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Arca Continental SAB de CV	2.209.736	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Arch Capital Group Ltd	11.892.708	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Archer-Daniels-Midland Co	9.266.686	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Ares Management Corp	11.051.586	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Arista Networks Inc	46.926.022	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aristocrat Leisure Ltd	7.564.721	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Arthur J Gallagher & Co	22.141.865	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Asahi Group Holdings Ltd	5.249.203	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Asahi Kasei Corp	3.737.920	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ASE Technology Holding Co Ltd	10.121.336	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aselsan Elektronik Sanayi Ve Ticaret AS	2.885.194	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Ashok Leyland Ltd	2.178.340	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Ashtead Group PLC	9.984.206	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Asia Cement Corp	761.101	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Asia Vital Components Co Ltd	6.096.993	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Asian Paints Ltd	4.550.284	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Asics Corp	5.464.551	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ASM International NV	9.620.114	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ASML Holding NV	144.579.638	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ASPEED Technology Inc	2.557.599	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ASR Nederland NV	3.579.308	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Assa Abloy AB	13.193.876	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Astellas Pharma Inc	8.329.289	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Astra International Tbk PT	3.219.114	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Astral Ltd	649.456	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AstraZeneca PLC	97.639.012	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Asustek Computer Inc	4.856.023	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	ASX Ltd	2.306.447	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AT&T Inc	59.565.747	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Atlas Copco AB	24.904.452	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Atlassian Corp	8.779.264	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Atmos Energy Corp	8.783.073	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Atrium Ljungberg AB	1.299.042	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AU Small Finance Bank Ltd	1.513.228	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Auckland International Airport Ltd	2.723.786	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aurobindo Pharma Ltd	1.371.044	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Auto Trader Group PLC	2.331.423	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Autodesk Inc	21.251.121	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Autohome Inc	623.572	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Automatic Data Processing Inc	34.954.544	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AutoZone Inc	18.989.743	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Avenue Supermarts Ltd	2.510.017	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Aviva PLC	8.328.540	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Avolta AG	1.727.234	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	AXA SA	28.800.123	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Axiata Group Bhd	581.203	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Axis Bank Ltd	12.471.293	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Axon Enterprise Inc	13.816.592	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Ayala Corp	923.797	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	B3 SA - Brasil Bolsa Balcao	4.980.533	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Baidu Inc	14.531.273	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Bajaj Auto Ltd	2.592.366	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Bajaj Finance Ltd	11.773.047	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
Metal and Technology Pension Fund	Balkrishna Industries Ltd	742.725	2025-12-31	EUR	https://www.pmt.nl/over-pmt/zo-beleggen-we/waar-beleggen-we-in/aandelen-en-obligaties/#
